YEAR,GDP PER CAPITA (USD),ANNUAL GROWTH
1/1/2000,4087.56,15.52
1/1/2001,3941.12,-3.58
1/1/2002,4177.10,5.99
1/1/2003,4454.53,6.64
1/1/2004,4924.34,10.55
1/1/2005,5536.84,12.44
1/1/2006,6137.15,10.84
1/1/2007,7144.00,16.41
1/1/2008,8343.30,16.79
1/1/2009,7167.88,-14.09
1/1/2010,8880.15,23.89
1/1/2011,10209.37,14.97
1/1/2012,10601.51,3.84
1/1/2013,10727.67,1.19
1/1/2014,11045.58,2.96
1/1/2015,9699.60,-12.19
1/1/2016,9555.66,-1.48
1/1/2017,9979.70,4.44
1/1/2018,11073.97,10.96
1/1/2019,11132.10,0.52
1/1/2020,10164.34,-8.69
1/1/2021,11134.62,9.55
1/1/2022,11993.19,7.71
