"Name","Latitude","Longitude"
"Kedah State","6.155672","100.569649"
"Perak","4.693950","101.117577"
"Perlis","6.443589","100.216599"
"Penang","5.285153","100.456238"
"Negri Sembilan","2.731813","102.252502"
"Kelantan Province","6.125397","102.238068"
"Sabah","5.420404","116.796783"
"Pahang","3.974341","102.438057"
"Selangor","3.509247","101.524803"
"Johor","1.937344","103.366585"
"Selangor","3.072751","101.423454"
"Kuala Lumpur","3.152659","101.702220"
"Malacca","2.329374","102.288096"
"Sarawak","2.502385","112.954728"
"Terengganu","4.863074","102.994930"
